Ідентифікатор тендера;Кіль-ть лотів
UA-2016-05-12-000467-b;1
UA-2016-05-12-000468-b;1
UA-2016-05-12-000469-b;1
UA-2016-05-13-000010-c;1
UA-2016-05-13-000014-a;1
UA-2016-05-13-000021-b;1
UA-2016-05-13-000029-a;2
UA-2016-05-13-000032-a;1
UA-2016-05-13-000044-b;1
UA-2016-05-13-000073-a;1
UA-2016-05-13-000093-a;1
UA-2016-05-13-000094-a;1
UA-2016-05-13-000097-a;1
UA-2016-05-13-000108-a;1
UA-2016-05-13-000115-a;1
UA-2016-05-13-000117-a;1
UA-2016-05-13-000118-a;1
UA-2016-05-13-000119-a;1
UA-2016-05-13-000120-a;1
UA-2016-05-13-000121-a;2
UA-2016-05-13-000122-a;3
UA-2016-05-13-000148-c;1
UA-2016-05-13-000149-b;1
UA-2016-05-13-000202-b;1
UA-2016-05-13-000246-b;1
UA-2016-05-13-000260-b;1
UA-2016-05-13-000263-b;1
UA-2016-05-13-000265-c;4
UA-2016-05-13-000272-b;1
UA-2016-05-13-000277-c;1
UA-2016-05-13-000278-b;1
UA-2016-05-13-000288-c;1
UA-2016-05-13-000310-c;1
UA-2016-05-13-000329-b;1
UA-2016-05-13-000343-b;1
UA-2016-05-13-000345-b;1
UA-2016-05-13-000366-b;1
UA-2016-05-13-000367-b;1
UA-2016-05-13-000367-c;1
UA-2016-05-13-000368-b;1
UA-2016-05-13-000369-b;1
UA-2016-05-13-000371-b;1
UA-2016-05-15-000001-b;1
UA-2016-05-16-000007-b;1
UA-2016-05-16-000009-a;1
UA-2016-05-16-000034-a;1
UA-2016-05-16-000034-c;1
UA-2016-05-16-000055-a;1
UA-2016-05-16-000056-c;1
UA-2016-05-16-000077-b;1
UA-2016-05-16-000102-a;1
UA-2016-05-16-000115-a;1
UA-2016-05-16-000127-a;1
UA-2016-05-16-000128-a;1
UA-2016-05-16-000129-a;1
UA-2016-05-16-000130-a;3
UA-2016-05-16-000131-a;1
UA-2016-05-16-000136-a;1
UA-2016-05-16-000137-a;3
UA-2016-05-16-000156-c;1
UA-2016-05-16-000163-b;1
UA-2016-05-16-000165-b;1
UA-2016-05-16-000197-c;1
UA-2016-05-16-000203-b;1
UA-2016-05-16-000232-b;3
UA-2016-05-16-000236-b;1
UA-2016-05-16-000243-b;1
UA-2016-05-16-000256-b;1
UA-2016-05-16-000268-b;1
UA-2016-05-16-000282-b;1
UA-2016-05-16-000292-b;1
UA-2016-05-16-000321-c;1
UA-2016-05-16-000338-b;1
UA-2016-05-16-000366-b;1
UA-2016-05-16-000377-b;1
UA-2016-05-16-000408-c;1
UA-2016-05-16-000413-b;1
UA-2016-05-16-000419-c;1
UA-2016-05-16-000423-b;1
UA-2016-05-16-000437-c;1
UA-2016-05-16-000452-c;1
UA-2016-05-16-000467-c;2
UA-2016-05-17-000001-a;1
UA-2016-05-17-000019-a;1
UA-2016-05-17-000040-b;1
UA-2016-05-17-000058-c;1
UA-2016-05-17-000068-b;1
UA-2016-05-17-000073-a;1
UA-2016-05-17-000077-a;1
UA-2016-05-17-000081-a;1
UA-2016-05-17-000083-c;1
UA-2016-05-17-000099-a;1
UA-2016-05-17-000107-a;1
UA-2016-05-17-000109-a;1
UA-2016-05-17-000134-a;1
UA-2016-05-17-000135-a;1
UA-2016-05-17-000136-a;1
UA-2016-05-17-000141-a;1
UA-2016-05-17-000147-a;1
UA-2016-05-17-000150-a;2
UA-2016-05-17-000175-b;3
UA-2016-05-17-000179-c;1
UA-2016-05-17-000242-b;1
UA-2016-05-17-000243-b;1
UA-2016-05-17-000254-b;5
UA-2016-05-17-000259-c;1
UA-2016-05-17-000260-b;1
UA-2016-05-17-000315-c;1
UA-2016-05-17-000327-b;1
UA-2016-05-17-000335-b;1
UA-2016-05-17-000348-b;1
UA-2016-05-17-000357-c;1
UA-2016-05-17-000367-c;3
UA-2016-05-17-000384-c;1
UA-2016-05-17-000388-c;1
UA-2016-05-17-000399-b;6
UA-2016-05-17-000410-b;1
UA-2016-05-17-000413-c;1
UA-2016-05-17-000414-c;1
UA-2016-05-17-000421-c;1
UA-2016-05-17-000424-c;1
UA-2016-05-17-000439-b;1
UA-2016-05-17-000442-b;1
UA-2016-05-17-000444-b;1
UA-2016-05-17-000445-b;1
UA-2016-05-17-000446-b;1
UA-2016-05-17-000453-b;1
UA-2016-05-17-000459-b;1
UA-2016-05-17-000462-b;1
UA-2016-05-17-000463-b;1
UA-2016-05-17-000465-b;1
UA-2016-05-18-000015-a;1
UA-2016-05-18-000038-a;1
UA-2016-05-18-000052-b;1
UA-2016-05-18-000088-b;1
UA-2016-05-18-000091-b;1
UA-2016-05-18-000105-a;1
UA-2016-05-18-000107-a;3
UA-2016-05-18-000114-a;4
UA-2016-05-18-000124-b;2
UA-2016-05-18-000138-a;10
UA-2016-05-18-000149-a;1
UA-2016-05-18-000154-a;1
UA-2016-05-18-000158-a;1
UA-2016-05-18-000167-b;1
UA-2016-05-18-000193-c;1
UA-2016-05-18-000223-c;4
UA-2016-05-18-000257-c;1
UA-2016-05-18-000276-c;1
UA-2016-05-18-000277-b;1
UA-2016-05-18-000291-c;1
UA-2016-05-18-000298-c;1
UA-2016-05-18-000306-b;1
UA-2016-05-18-000408-b;1
UA-2016-05-18-000409-b;1
UA-2016-05-18-000417-b;1
UA-2016-05-18-000417-c;1
UA-2016-05-18-000433-b;3
UA-2016-05-18-000439-b;1
UA-2016-05-18-000448-b;1
UA-2016-05-18-000456-c;2
UA-2016-05-19-000001-c;1
UA-2016-05-19-000006-a;1
UA-2016-05-19-000009-b;4
UA-2016-05-19-000010-a;1
UA-2016-05-19-000012-a;1
UA-2016-05-19-000012-c;3
UA-2016-05-19-000016-a;1
UA-2016-05-19-000016-b;3
UA-2016-05-19-000027-a;1
UA-2016-05-19-000030-a;1
UA-2016-05-19-000033-a;1
UA-2016-05-19-000034-a;1
UA-2016-05-19-000038-c;1
UA-2016-05-19-000042-a;1
UA-2016-05-19-000054-b;3
UA-2016-05-19-000084-b;1
UA-2016-05-19-000087-a;1
UA-2016-05-19-000100-a;1
UA-2016-05-19-000103-a;1
UA-2016-05-19-000115-a;1
UA-2016-05-19-000120-a;3
UA-2016-05-19-000125-a;2
UA-2016-05-19-000126-c;1
UA-2016-05-19-000127-c;1
UA-2016-05-19-000128-c;1
UA-2016-05-19-000130-c;1
UA-2016-05-19-000131-c;1
UA-2016-05-19-000144-a;4
UA-2016-05-19-000145-a;1
UA-2016-05-19-000146-a;1
UA-2016-05-19-000147-a;1
UA-2016-05-19-000165-b;1
UA-2016-05-19-000217-c;1
UA-2016-05-19-000223-b;1
UA-2016-05-19-000232-b;6
UA-2016-05-19-000245-b;1
UA-2016-05-19-000256-b;1
UA-2016-05-19-000313-c;1
UA-2016-05-19-000321-b;1
UA-2016-05-19-000325-b;1
UA-2016-05-19-000338-b;1
UA-2016-05-19-000339-b;1
UA-2016-05-19-000340-b;1
UA-2016-05-19-000429-b;1
UA-2016-05-19-000439-b;1
UA-2016-05-19-000446-b;1
UA-2016-05-19-000454-b;1
UA-2016-05-19-000457-b;1
UA-2016-05-19-000470-b;1
UA-2016-05-19-000471-b;1
UA-2016-05-20-000003-b;1
UA-2016-05-20-000021-a;1
UA-2016-05-20-000023-b;1
UA-2016-05-20-000024-c;2
UA-2016-05-20-000036-c;1
UA-2016-05-20-000045-b;1
UA-2016-05-20-000051-c;1
UA-2016-05-20-000072-c;1
UA-2016-05-20-000098-b;2
UA-2016-05-20-000105-a;1
UA-2016-05-20-000107-c;1
UA-2016-05-20-000110-c;1
UA-2016-05-20-000111-c;1
UA-2016-05-20-000115-a;1
UA-2016-05-20-000119-b;2
UA-2016-05-20-000121-a;1
UA-2016-05-20-000124-c;1
UA-2016-05-20-000134-b;5
UA-2016-05-20-000141-a;1
UA-2016-05-20-000142-c;1
UA-2016-05-20-000148-c;1
UA-2016-05-20-000151-c;1
UA-2016-05-20-000152-a;1
UA-2016-05-20-000154-c;1
UA-2016-05-20-000157-b;1
UA-2016-05-20-000171-b;1
UA-2016-05-20-000174-b;5
UA-2016-05-20-000186-b;1
UA-2016-05-20-000193-b;1
UA-2016-05-20-000249-b;1
